ID,Plocha (mm²),Délka (mm),Šířka (mm),Ekv. průměr (mm),Poměr stran,Kruhovitost,Konvexnost
1,837.97,52.812,28.372,32.664,1.86,0.292,0.766
2,7.11,3.182,2.899,3.009,1.1,0.849,0.971
3,4.73,2.494,2.408,2.454,1.04,0.653,0.882
4,4.09,2.5,2.1,2.282,1.19,0.872,0.98
5,3.97,2.404,2.121,2.248,1.13,0.854,0.972
6,3.83,2.5,2.0,2.208,1.25,0.861,0.975
7,3.06,2.121,1.838,1.974,1.15,0.884,0.976
8,2.26,2.0,1.4,1.696,1.43,0.86,0.978
9,2.2,1.8,1.5,1.674,1.2,0.899,0.984
10,2.015,5.8,0.5,1.602,11.6,0.167,0.775
11,1.87,1.6,1.5,1.543,1.07,0.888,0.979
12,1.86,2.742,1.224,1.539,2.24,0.452,0.711
13,1.635,1.7,1.3,1.443,1.31,0.704,0.932
14,1.595,1.5,1.3,1.425,1.15,0.899,0.985
15,1.15,1.202,1.202,1.21,1.0,0.876,0.966
16,1.125,1.202,1.131,1.197,1.06,0.882,0.97
17,0.82,1.061,0.919,1.022,1.15,0.902,0.982
18,0.745,1.56,0.761,0.974,2.05,0.56,0.81
19,0.735,1.328,0.759,0.967,1.75,0.781,0.955
20,0.585,0.849,0.778,0.863,1.09,0.912,0.992
21,0.525,0.849,0.778,0.818,1.09,0.819,0.972
22,0.475,0.9,0.7,0.778,1.29,0.836,0.96
23,0.425,0.778,0.707,0.736,1.1,0.818,0.944
24,0.4,1.2,0.4,0.714,3.0,0.674,1.0
25,0.375,0.778,0.566,0.691,1.38,0.849,0.974
26,0.335,0.707,0.636,0.653,1.11,0.815,0.985
27,0.315,0.636,0.566,0.633,1.13,0.921,1.0
28,0.295,0.636,0.566,0.613,1.12,0.863,1.0
29,0.255,0.566,0.495,0.57,1.14,0.914,1.0
30,0.22,0.495,0.495,0.529,1.0,0.922,1.0
31,0.12,0.354,0.354,0.391,1.0,0.851,1.0
32,0.08,0.283,0.283,0.319,1.0,0.785,1.0
