ID,Plocha (mm²),Délka (mm),Šířka (mm),Ekv. průměr (mm),Poměr stran,Kruhovitost,Konvexnost
1,812.61,41.212,26.768,32.166,1.54,0.669,0.899
2,31.95,6.504,6.439,6.378,1.01,0.767,0.948
3,12.035,6.215,2.96,3.915,2.1,0.554,0.84
4,6.685,4.241,1.997,2.917,2.12,0.666,0.911
5,6.67,3.921,2.087,2.914,1.88,0.733,0.953
6,4.22,2.3,2.3,2.318,1.0,0.9,0.978
7,3.89,2.475,1.909,2.226,1.3,0.902,0.989
8,3.67,3.486,1.706,2.162,2.04,0.391,0.771
9,2.95,2.2,1.7,1.938,1.29,0.844,0.974
10,2.83,3.446,1.526,1.898,2.26,0.38,0.684
11,2.395,1.768,1.697,1.746,1.04,0.904,0.98
12,2.22,1.7,1.6,1.681,1.06,0.907,0.987
13,1.995,2.2,1.2,1.594,1.83,0.753,0.957
14,1.92,1.6,1.5,1.564,1.07,0.883,0.975
15,1.83,5.8,0.4,1.526,14.5,0.162,0.936
16,1.765,1.556,1.485,1.499,1.05,0.857,0.959
17,1.61,1.7,1.2,1.432,1.42,0.856,0.97
18,1.47,1.626,1.202,1.368,1.35,0.82,0.964
19,0.905,1.273,0.919,1.073,1.38,0.821,0.963
20,0.85,1.7,0.7,1.04,2.43,0.601,0.955
21,0.645,0.919,0.849,0.906,1.08,0.928,1.0
22,0.635,1.5,0.6,0.899,2.5,0.592,0.962
23,0.455,0.849,0.636,0.761,1.33,0.875,0.989
24,0.44,0.707,0.707,0.748,1.0,0.887,0.978
25,0.36,0.636,0.636,0.677,1.0,0.857,0.973
26,0.34,0.636,0.636,0.658,1.0,0.941,1.0
27,0.27,0.7,0.5,0.586,1.4,0.809,0.982
28,0.23,0.495,0.495,0.541,1.0,0.878,1.0
29,0.12,0.354,0.354,0.391,1.0,0.851,1.0
30,0.12,0.354,0.354,0.391,1.0,0.851,1.0
