ID,Plocha (mm²),Délka (mm),Šířka (mm),Ekv. průměr (mm),Poměr stran,Kruhovitost,Konvexnost
1,530.25,35.281,25.949,25.983,1.36,0.315,0.8
2,122.755,17.117,11.22,12.502,1.53,0.314,0.827
3,42.82,7.5,7.0,7.384,1.07,0.832,0.974
4,18.385,6.0,3.8,4.838,1.58,0.792,0.981
5,13.84,5.798,3.889,4.198,1.49,0.513,0.852
6,13.74,4.5,3.6,4.183,1.25,0.818,0.984
7,11.445,3.96,3.677,3.817,1.08,0.86,0.977
8,10.03,4.808,3.96,3.574,1.21,0.455,0.783
9,9.26,4.8,3.0,3.434,1.6,0.576,0.905
10,8.81,3.451,3.397,3.349,1.02,0.826,0.968
11,6.11,4.4,1.8,2.789,2.44,0.622,0.975
12,5.7,7.0,1.3,2.694,5.38,0.302,0.833
13,5.585,2.758,2.546,2.667,1.08,0.893,0.976
14,5.285,3.394,2.546,2.594,1.33,0.433,0.785
15,5.25,4.9,1.4,2.585,3.5,0.516,0.98
16,4.475,3.536,2.051,2.387,1.72,0.454,0.785
17,3.935,3.1,1.8,2.238,1.72,0.732,0.947
18,3.455,2.404,1.909,2.097,1.26,0.853,0.972
19,2.84,2.0,1.8,1.902,1.11,0.864,0.984
20,2.395,2.191,1.47,1.746,1.49,0.731,0.936
21,2.3,2.424,1.404,1.711,1.73,0.707,0.939
22,1.265,1.273,1.202,1.269,1.06,0.865,0.984
23,1.095,1.202,1.131,1.181,1.06,0.858,0.969
24,0.91,1.202,0.919,1.076,1.31,0.892,0.984
25,0.9,1.061,1.061,1.07,1.0,0.882,0.968
26,0.695,1.131,0.778,0.941,1.45,0.792,0.946
27,0.67,0.99,0.778,0.924,1.27,0.791,0.957
28,0.645,0.919,0.849,0.906,1.08,0.928,1.0
29,0.645,0.919,0.849,0.906,1.08,0.878,0.985
30,0.6,0.849,0.849,0.874,1.0,0.898,0.984
31,0.565,0.849,0.778,0.848,1.09,0.881,0.983
32,0.53,0.849,0.707,0.821,1.2,0.916,1.0
33,0.47,0.778,0.778,0.774,1.0,0.812,0.959
34,0.46,0.707,0.707,0.765,1.0,0.868,0.989
35,0.435,1.4,0.4,0.744,3.5,0.537,1.0
36,0.43,1.7,0.4,0.74,4.25,0.388,0.925
37,0.385,0.778,0.566,0.7,1.38,0.872,0.987
38,0.375,0.707,0.636,0.691,1.11,0.912,1.0
39,0.325,0.636,0.566,0.643,1.13,0.879,0.985
40,0.28,0.636,0.495,0.597,1.29,0.867,1.0
41,0.27,0.778,0.495,0.586,1.57,0.643,0.9
42,0.22,0.566,0.424,0.529,1.33,0.84,1.0
43,0.2,0.495,0.495,0.505,1.0,0.838,1.0
44,0.185,0.566,0.354,0.485,1.6,0.754,0.974
45,0.17,0.424,0.424,0.465,1.0,0.82,1.0
