Soubor,ID,Závažnost,Confidence,Max Z,Mean Z,Max jas,X,Y,Šířka,Výška,Plocha [px²],Poměr stran,Kruhovitost,Z práh,Z okno,Maska pokrytí [%]
.\Obr1.jpg,1,Kritický,3,5.67,4.17,230.4,123,180,10,13,83.0,0.77,0.853,2.5,51,0.26
.\Obr1.jpg,2,Kritický,3,5.59,4.26,231.2,66,183,9,12,81.5,0.75,0.891,2.5,51,0.26
.\Obr1.jpg,3,Kritický,3,4.33,3.37,144.4,13,187,7,10,44.0,0.7,0.863,2.5,51,0.26
.\Obr1.jpg,4,Kritický,3,3.9,3.22,115.0,128,365,9,13,66.0,0.69,0.763,2.5,51,0.26
.\Obr1.jpg,5,Střední,2,3.14,2.76,120.5,271,0,8,10,54.0,0.8,0.772,2.5,51,0.26
.\Obr1.jpg,6,Střední,2,3.09,2.83,106.4,87,355,5,5,10.0,1.0,0.806,2.5,51,0.26
.\Obr1.jpg,7,Střední,1,2.85,2.71,90.6,0,351,5,4,9.5,1.25,0.796,2.5,51,0.26
.\Obr10.jpg,1,Kritický,4,7.02,4.65,130.6,339,62,11,8,61.5,1.38,0.864,2.5,51,0.22
.\Obr10.jpg,2,Kritický,3,4.14,3.49,232.2,211,250,15,8,84.5,1.88,0.787,2.5,51,0.22
.\Obr10.jpg,3,Kritický,3,3.91,3.09,188.6,198,346,26,7,122.0,3.71,0.486,2.5,51,0.22
.\Obr10.jpg,4,Střední,2,3.21,2.9,97.4,244,61,7,3,10.0,2.33,0.674,2.5,51,0.22
.\Obr10.jpg,5,Střední,2,3.13,2.86,104.4,138,351,6,4,11.5,1.5,0.846,2.5,51,0.22
.\Obr10.jpg,6,Střední,2,2.96,2.76,103.5,64,355,7,3,10.0,2.33,0.674,2.5,51,0.22
.\Obr2.jpg,1,Kritický,3,4.96,3.6,65.4,331,19,4,6,10.5,0.67,0.772,2.5,51,0.26
.\Obr2.jpg,2,Střední,2,4.29,3.39,194.6,37,167,30,10,99.5,3.0,0.287,2.5,51,0.26
.\Obr2.jpg,3,Kritický,3,3.96,3.16,72.4,304,52,6,10,31.5,0.6,0.766,2.5,51,0.26
.\Obr2.jpg,4,Kritický,3,3.8,3.37,72.0,120,264,5,8,20.5,0.62,0.708,2.5,51,0.26
.\Obr2.jpg,5,Střední,2,3.62,3.05,71.8,146,288,4,8,19.0,0.5,0.766,2.5,51,0.26
.\Obr2.jpg,6,Střední,2,3.51,3.01,70.9,323,49,5,7,14.5,0.71,0.721,2.5,51,0.26
.\Obr2.jpg,7,Střední,2,3.36,2.94,58.0,408,189,8,3,13.0,2.67,0.577,2.5,51,0.26
.\Obr2.jpg,8,Střední,1,3.34,2.1,69.4,357,381,14,9,28.5,1.56,0.259,2.5,51,0.26
.\Obr2.jpg,9,Střední,2,3.33,2.91,72.8,333,173,5,7,15.5,0.71,0.771,2.5,51,0.26
.\Obr2.jpg,10,Střední,2,3.12,2.75,75.3,319,228,5,7,12.0,0.71,0.643,2.5,51,0.26
.\Obr2.jpg,11,Střední,2,3.02,2.68,72.8,311,140,5,7,16.5,0.71,0.82,2.5,51,0.26
.\Obr2.jpg,12,Střední,2,2.98,2.69,74.6,348,310,4,7,12.0,0.57,0.719,2.5,51,0.26
.\Obr2.jpg,13,Střední,1,2.93,2.75,71.9,328,111,3,6,8.0,0.5,0.74,2.5,51,0.26
.\Obr2.jpg,14,Střední,1,2.86,2.72,86.0,277,274,4,4,7.0,1.0,0.943,2.5,51,0.26
.\Obr3.jpg,1,Kritický,3,5.83,4.04,228.5,196,164,9,13,79.0,0.69,0.746,2.5,51,0.11
.\Obr3.jpg,2,Kritický,3,4.77,3.62,205.6,247,161,6,5,16.5,1.2,0.913,2.5,51,0.11
.\Obr3.jpg,3,Kritický,3,3.86,3.09,123.6,287,288,6,5,14.0,1.2,0.838,2.5,51,0.11
.\Obr3.jpg,4,Kritický,3,3.8,3.12,113.6,279,105,6,4,10.5,1.5,0.772,2.5,51,0.11
.\Obr3.jpg,5,Slabý,0,3.5,2.46,102.6,291,181,8,11,9.5,0.73,0.171,2.5,51,0.11
.\Obr3.jpg,6,Střední,1,3.39,2.79,119.9,285,240,12,4,13.0,3.0,0.239,2.5,51,0.11
.\Obr4.jpg,1,Kritický,3,5.3,3.87,158.9,270,118,11,6,32.0,1.83,0.69,2.5,51,0.12
.\Obr4.jpg,2,Kritický,3,4.69,3.57,226.0,183,142,13,5,37.0,2.6,0.573,2.5,51,0.12
.\Obr4.jpg,3,Střední,1,3.68,2.74,219.8,104,106,6,17,41.5,0.35,0.387,2.5,51,0.12
.\Obr4.jpg,4,Střední,1,3.03,2.79,227.6,189,164,5,4,8.5,1.25,0.871,2.5,51,0.12
.\Obr5.jpg,1,Střední,2,3.57,3.06,68.9,27,67,9,7,34.0,1.29,0.786,2.5,51,0.1
.\Obr5.jpg,2,Střední,2,3.24,2.96,232.8,84,261,14,12,107.0,1.17,0.849,2.5,51,0.1
.\Obr6.jpg,1,Kritický,4,8.3,4.62,79.0,568,419,8,13,82.0,0.62,0.81,2.5,51,0.11
.\Obr6.jpg,2,Kritický,3,4.65,3.61,224.3,241,112,11,11,77.5,1.0,0.865,2.5,51,0.11
.\Obr6.jpg,3,Kritický,3,3.93,3.27,82.0,248,368,7,4,11.5,1.75,0.636,2.5,51,0.11
.\Obr6.jpg,4,Střední,1,3.48,3.02,82.8,73,469,4,4,7.0,1.0,0.943,2.5,51,0.11
.\Obr6.jpg,5,Střední,2,3.46,3.08,81.0,152,536,7,3,10.0,2.33,0.674,2.5,51,0.11
.\Obr6.jpg,6,Střední,2,3.41,3.02,88.0,385,581,7,3,10.0,2.33,0.674,2.5,51,0.11
.\Obr6.jpg,7,Střední,2,3.15,2.76,82.0,198,248,9,7,36.5,1.29,0.803,2.5,51,0.11
.\Obr6.jpg,8,Střední,2,3.11,2.78,92.7,273,197,7,5,16.5,1.4,0.82,2.5,51,0.11
.\Obr6.jpg,9,Střední,1,3.04,2.74,88.0,354,469,6,3,8.0,2.0,0.74,2.5,51,0.11
.\Obr6.jpg,10,Střední,1,2.92,2.7,78.3,453,44,5,3,6.0,1.67,0.809,2.5,51,0.11
.\Obr6.jpg,11,Střední,1,2.86,2.7,77.9,546,83,4,4,7.0,1.0,0.943,2.5,51,0.11
.\Obr6.jpg,12,Střední,2,2.83,2.69,76.0,633,334,7,9,40.0,0.78,0.764,2.5,51,0.11
.\Obr7.jpg,1,Kritický,3,5.9,3.97,227.6,240,197,14,10,82.5,1.4,0.704,2.5,51,0.11
.\Obr7.jpg,2,Kritický,3,4.7,3.57,202.8,252,248,5,7,17.5,0.71,0.87,2.5,51,0.11
.\Obr7.jpg,3,Kritický,3,3.9,3.12,122.4,124,287,6,7,16.5,0.86,0.741,2.5,51,0.11
.\Obr7.jpg,4,Kritický,3,3.87,3.16,113.7,308,281,4,6,10.0,0.67,0.806,2.5,51,0.11
