Soubor,ID,Závažnost,Confidence,Max Z,Mean Z,Max jas,X,Y,Šířka,Výška,Plocha [px²],Poměr stran,Kruhovitost,Z práh,Z okno,Maska pokrytí [%]
.\Obr1.jpg,1,Kritický,4,9.56,6.37,227.6,65,182,11,14,109.5,0.79,0.879,3.2,91,0.17
.\Obr1.jpg,2,Kritický,4,9.54,6.24,225.5,122,180,11,14,107.5,0.79,0.863,3.2,91,0.17
.\Obr1.jpg,3,Kritický,3,5.0,4.07,140.7,13,187,7,9,35.0,0.78,0.809,3.2,91,0.17
.\Obr10.jpg,1,Kritický,3,6.63,4.75,184.2,196,345,31,10,219.5,3.1,0.539,3.2,91,0.25
.\Obr10.jpg,2,Kritický,3,6.19,4.64,126.6,339,62,10,7,45.0,1.43,0.806,3.2,91,0.25
.\Obr10.jpg,3,Kritický,3,5.71,4.5,229.2,209,249,17,9,100.5,1.89,0.692,3.2,91,0.25
.\Obr2.jpg,1,Kritický,3,5.87,4.58,181.8,39,167,28,11,136.5,2.55,0.403,3.2,91,0.1
.\Obr3.jpg,1,Kritický,3,7.53,5.22,218.6,195,163,10,14,89.0,0.71,0.724,3.2,91,0.06
.\Obr5.jpg,1,Kritický,3,5.52,4.49,231.6,83,259,16,16,179.0,1.0,0.838,3.2,91,0.13
.\Obr5.jpg,2,Střední,2,4.07,3.73,67.8,28,67,6,6,16.0,1.0,0.74,3.2,91,0.13
.\Obr6.jpg,1,Kritický,3,7.5,5.02,218.7,240,111,14,15,138.0,0.93,0.827,3.2,91,0.04
.\Obr7.jpg,1,Kritický,3,7.33,5.09,214.2,240,197,14,10,93.5,1.4,0.738,3.2,91,0.06
.\Obr8.jpg,1,Kritický,3,6.52,4.84,235.2,10,127,7,9,34.0,0.78,0.786,3.2,91,0.12
.\Obr8.jpg,2,Kritický,3,6.51,4.52,230.0,70,0,8,14,63.5,0.57,0.662,3.2,91,0.12
.\Obr8.jpg,3,Kritický,3,6.05,4.84,239.4,142,338,6,8,27.5,0.75,0.778,3.2,91,0.12
.\Obr8.jpg,4,Kritický,3,5.95,4.7,242.9,152,311,7,9,36.5,0.78,0.803,3.2,91,0.12
.\Obr9.jpg,1,Kritický,3,6.94,4.82,169.0,197,211,7,13,38.0,0.54,0.487,3.2,91,0.02
